,FIELD,RA,DEC,OBS TIME MED,I,Q,error Q,U,U error,SEEING,BANDA,CONDITION,THETA MOON,PHI MOON,ALBEDO,WAVELENGTH,THETA FIELD,PHI FIELD,GAMMA,AOP,AOP error,POL OBS,POL OBS error,THETA SUN,PHI SUN
0,F60,89.47221,-13.62131,2021-01-26T00:42:47,21310.07,-0.117568,0.003102,-0.030394,0.001476,1.07,B,clouds,0.9912454,0.5313375,0.08747612,437.0,0.43723518,1.19298,39.13508,7.2474527,0.3836723649314895,0.121433236,0.0030258999,1.8334087,4.202055
1,F9,66.66121,24.65011,2021-01-26T01:34:23,84236.39,0.068493,0.001887,-0.010343,0.003944,1.67,B,clouds,0.910195,0.30750757,0.08830252,437.0,0.8835888,6.0408344,24.539816,-4.293624,1.6170435939794647,0.06926954,0.0019565746,2.0050805,4.0673337
2,F58,75.41671,-48.90769,2021-01-27T00:58:01,10295.016,-0.254614,0.013936,-0.531848,0.005213,0.948,B,sun,1.0788344,0.6733042,0.11007079,437.0,0.42868412,3.0052207,79.81013,32.208977,0.6204114331523501,0.58965296,0.0076367552,1.8874474,4.169705
3,F55,54.02579,-20.96981,2021-01-27T01:18:03,23167.067,0.142508,0.010756,-0.474828,0.005013,0.793,B,ok,1.0327652,0.60229874,0.11035578,437.0,0.34999958,4.823716,69.96776,-36.64708,0.6011159461597158,0.49575213,0.0057108193,1.9544369,4.117688
4,F10,71.42771,17.19769,2021-01-27T02:10:40,35873.124,0.119294,0.002883,-0.070613,0.005094,1.548,B,ok,0.9356065,0.3885305,0.11109849,437.0,0.7865058,5.874955,35.17424,-15.311157,0.9553793975826677,0.1386263,0.0035899726,2.1176462,3.9561028
5,F11,82.95929,12.62319,2021-01-26T02:38:12,44434.434,0.020275,0.001991,-0.014074,0.002849,1.328,B,clouds,0.87340194,6.2770863,0.089325264,437.0,0.6792677,5.9682355,16.57843,-17.383327,3.019328615723781,0.024681028,0.0023053016,2.190308,3.8495495
6,F17,133.152,24.72839,2021-01-27T03:19:41,52401.422,0.05277,0.001344,0.03257,0.003688,0.865,B,ok,0.8754347,0.058477845,0.1120594,437.0,0.9760735,0.52774966,22.151772,15.841582,1.4860632278975694,0.062011916,0.0022494623,2.2893817,3.6719534
7,9090-7,138.001,-7.84645,2021-01-27T04:01:07,27063.804,-0.040809,0.002365,0.200934,0.002518,0.938,B,ok,0.8823667,6.1341405,0.11262869,437.0,0.46489328,0.9578194,43.712246,-39.25979,0.33131354587083617,0.20503621,0.0025121162,2.3571243,3.4558167
8,F64,156.588,-0.12736,2021-01-27T04:46:18,29257.864,0.109092,0.004658,0.287584,0.005623,0.785,B,ok,0.9264055,5.919434,0.11324274,437.0,0.6488882,0.931111,52.39284,34.61314,0.4461473487142125,0.30758026,0.0055109058,2.3898196,3.1903596
9,F23,173.413,13.44331,2021-01-27T05:37:26,34429.026,0.273164,0.006503,0.317657,0.008952,0.7,B,ok,1.015704,5.7063365,0.113928825,437.0,0.8688278,0.76738983,60.917164,24.653324,0.5224606258736967,0.4189565,0.008002994,2.3687432,2.8847935
10,CT2,194.38792,-2.38783,2021-01-27T06:31:12,30546.204,0.326041,0.010357,0.519894,0.009753,1.125,B,ok,1.1440438,5.5219955,0.11463975,437.0,0.78309,1.1674646,86.07706,28.953476,0.47570383398523136,0.61367136,0.009927218,2.2854624,2.60033
11,F74,235.731,-34.111,2021-01-27T07:31:53,28961.441,0.19295,0.001901,0.070727,0.006355,0.633,B,ok,1.3180873,5.3573265,0.115428686,437.0,1.010256,2.0284266,132.28337,10.065359,0.8367705955940272,0.20550428,0.0028230138,2.1359096,2.3479156
12,F65,166.391,-77.77269,2021-01-27T08:19:28,8111.931,0.138828,0.009773,0.549999,0.006064,0.69,B,ok,1.4690772,5.253376,0.116036944,437.0,0.93728757,3.2079399,107.83765,37.9168,0.4843912803474798,0.5672496,0.0063474732,1.9915802,2.195472
13,1101-264,166.20418,-27.00247,2021-01-27T08:56:44,1149.329,0.028247,0.006501,0.351593,0.003294,0.708,B,sun,1.5934948,5.183753,0.116506755,437.0,0.38155586,4.5070386,74.385155,42.70336,0.5267420205204932,0.35272586,0.0033244381,1.867613,2.0972793
14,F60,89.47221,-13.62131,2021-01-26T00:56:00,14520.80491,-0.120288,0.002884,-0.024928,0.001492,0.963,V,clouds,0.9666994,0.47745407,0.10398038,555.0,0.38909474,1.120629,39.15944,5.854008,0.3670229654564642,0.12284384,0.0028401802,1.8787574,4.170336
15,F9,66.66121,24.65011,2021-01-26T01:53:13,66682.34914,0.056383,0.002194,-0.013824,0.003993,1.35,V,clouds,0.89145595,0.21782461,0.10505753,555.0,0.9049086,5.9487853,24.636099,-6.8880224,1.9310657524194528,0.058052957,0.0023334057,2.0634959,4.0098267
16,F58,75.41671,-48.90769,2021-01-27T00:48:59,6312.687775,-0.255266,0.010908,-0.513408,0.003731,0.903,V,sun,1.1009741,0.70349216,0.13000573,555.0,0.43464726,2.9447494,79.785225,31.781738,0.49502568504882305,0.5733659,0.005894485,1.8565512,4.1917467
