,FIELD,RA,DEC,THETA FIELD,PHI FIELD,THETA SUN,PHI SUN,THETA MOON,PHI MOON,OB TIME MED,I,Q,error Q,U,error U,POL OB,error POL OB,AOP OB,error AOP OB,GAMMA,SEEING,WAVELENGTH,ALBEDO,CONDITION,BANDA,POL FIT,RES,DIFF
0,F55,54.02579,-20.96981,0.34999958,4.823716,1.9544369,4.117688,1.0327652,0.60229874,2021-01-27T01:18:03,23167.067,0.142508,0.010756,-0.474828,0.005013,0.49575213,0.0057108193,-36.64708,0.6011159461597158,69.96776,0.793,437.0,0.11035578,ok,B,0.5058824138303472,0.008226305827242082,-0.010130283830347142
1,F10,71.42771,17.19769,0.7865058,5.874955,2.1176462,3.9561028,0.9356065,0.3885305,2021-01-27T02:10:40,35873.124,0.119294,0.002883,-0.070613,0.005094,0.1386263,0.0035899726,-15.311157,0.9553793975826677,35.17424,1.548,437.0,0.11109849,ok,B,0.12739413067342129,0.002071594210164917,0.011232169326578723
2,F17,133.152,24.72839,0.9760735,0.52774966,2.2893817,3.6719534,0.8754347,0.058477845,2021-01-27T03:19:41,52401.422,0.05277,0.001344,0.03257,0.003688,0.062011916,0.0022494623,15.841582,1.4860632278975694,22.151772,0.865,437.0,0.1120594,ok,B,0.049007252248809544,0.0007969216437057165,0.013004663751190457
3,9090-7,138.001,-7.84645,0.46489328,0.9578194,2.3571243,3.4558167,0.8823667,6.1341405,2021-01-27T04:01:07,27063.804,-0.040809,0.002365,0.200934,0.002518,0.20503621,0.0025121162,-39.25979,0.3313135458708361,43.712246,0.938,437.0,0.11262869,ok,B,0.20086089722665065,0.003266259360173714,0.004175312773349343
4,F64,156.588,-0.12736,0.6488882,0.931111,2.3898196,3.1903596,0.9264055,5.919434,2021-01-27T04:46:18,29257.864,0.109092,0.004658,0.287584,0.005623,0.30758026,0.0055109058,34.61314,0.4461473487142125,52.39284,0.785,437.0,0.11324274,ok,B,0.29285024390282877,0.004762125747140505,0.014730016097171228
5,F23,173.413,13.44331,0.8688278,0.76738983,2.3687432,2.8847935,1.015704,5.7063365,2021-01-27T05:37:26,34429.026,0.273164,0.006503,0.317657,0.008952,0.4189565,0.008002994,24.653324,0.5224606258736967,60.917164,0.7,437.0,0.113928825,ok,B,0.39561234075452006,0.006433171059330708,0.023344159245479945
6,CT2,194.38792,-2.38783,0.78309,1.1674646,2.2854624,2.60033,1.1440438,5.5219955,2021-01-27T06:31:12,30546.204,0.326041,0.010357,0.519894,0.009753,0.61367136,0.009927218,28.953476,0.4757038339852313,86.07706,1.125,437.0,0.11463975,ok,B,0.6344181800062649,0.010316464515099745,-0.020746820006264932
7,F74,235.731,-34.111,1.010256,2.0284266,2.1359096,2.3479156,1.3180873,5.3573265,2021-01-27T07:31:53,28961.441,0.19295,0.001901,0.070727,0.006355,0.20550428,0.0028230138,10.065359,0.8367705955940272,132.28337,0.633,437.0,0.115428686,ok,B,0.24128919570185314,0.003923676060655346,-0.03578491570185313
8,F65,166.391,-77.77269,0.93728757,3.2079399,1.9915802,2.195472,1.4690772,5.253376,2021-01-27T08:19:28,8111.931,0.138828,0.009773,0.549999,0.006064,0.5672496,0.0063474732,37.9168,0.4843912803474798,107.83765,0.69,437.0,0.116036944,ok,B,0.5305164981927106,0.008626888069673452,0.03673310180728939
9,ORIG-CT1,151.112395,-2.31674,0.7108736,1.0908967,2.0694563,4.3845587,1.0332619,1.116881,2017-03-12T01:05:50,68495.788,0.009959,0.001854,-0.022843,0.002313,0.024919556,0.0022459934,-33.221977,2.224080830814298,18.505674,0.89,437.0,0.12779002,ok,B,0.03396777082693914,0.0005523601205591229,-0.009048214826939145
10,F55,54.02579,-20.96981,0.41946548,4.7766314,2.0110934,4.068201,0.9962516,0.5354441,2021-01-27T01:35:35,14964.13943,0.127727,0.00844,-0.456867,0.005098,0.47438553,0.005410132,-37.19026,0.4978146545673051,70.05367,0.738,555.0,0.13077617,ok,V,0.48602602994241517,0.00726475641196868,-0.011640499942415172
11,F10,71.42771,17.19769,0.8082775,5.8067703,2.1537504,3.9103081,0.9181513,0.3309056,2021-01-27T02:23:27,25031.75359,0.100576,0.002902,-0.067319,0.004828,0.12102636,0.0036094172,-16.897882,1.023697716881638,35.243786,1.618,555.0,0.13155925,ok,V,0.12265990020552665,0.001833429161428059,-0.001633540205526654
12,F17,133.152,24.72839,0.95330304,0.4773643,2.3120596,3.6133776,0.87402636,6.281939,2021-01-27T03:31:34,37081.03198,0.045558,0.001876,0.02128,0.003768,0.050282896,0.0023306473,12.518566,1.9969395666205787,22.089354,0.813,555.0,0.13265847,ok,V,0.046721475867204314,0.0006983579489006587,0.003561420132795687
13,9090-7,138.001,-7.84645,0.42158931,0.86176234,2.3720145,3.3772547,0.8919283,6.066658,2021-01-27T04:14:54,17264.17996,-0.038416,0.00123,0.185159,0.002654,0.1891022,0.0026106439,-39.139404,0.1999009043814568,43.65395,0.908,555.0,0.13334809,ok,V,0.1920621838116451,0.002870802992810232,-0.0029599838116451116
14,F64,156.588,-0.12736,0.60265285,0.85223323,2.3900738,3.099817,0.94855237,5.8534775,2021-01-27T05:01:14,18156.98078,0.104008,0.002586,0.262138,0.005155,0.2820177,0.0048856097,34.1792,0.3113155233724137,52.31051,0.685,555.0,0.1340768,ok,V,0.279901127514703,0.004183754337335813,0.002116572485297008
15,F23,173.413,13.44331,0.82585996,0.69562757,2.3496895,2.7937684,1.0511004,5.646684,2021-01-27T05:53:36,20563.97911,0.262734,0.004004,0.289032,0.007697,0.39060038,0.0063002207,23.864368,0.4375034820397362,60.822693,0.683,555.0,0.13488927,ok,V,0.37821709549033417,0.005653308465608548,0.01238328450966586
16,CT2,194.38792,-2.38783,0.7137543,1.0973365,2.2433152,2.5123417,1.196474,5.465247,2021-01-27T06:50:27,17442.61239,0.333056,0.00691,0.489692,0.009197,0.59222,0.008540152,27.889532,0.3728190604480577,85.95079,1.513,555.0,0.1357574,ok,V,0.6079555358777269,0.009087268181876529,-0.015735535877726914
17,F74,235.731,-34.111,0.9588122,2.0188227,2.094285,2.298127,1.3626249,5.323874,2021-01-27T07:46:16,16609.80486,0.216699,0.001576,0.05843,0.006439,0.22443824,0.0022639546,7.545086,0.7952762253329891,132.17772,0.653,555.0,0.13659516,ok,V,0.23243533905629887,0.0034742709561819815,-0.007997099056298862
18,F65,166.391,-77.77269,0.94008875,3.218582,1.959655,2.167981,1.5014536,5.234109,2021-01-27T08:29:18,4921.48314,0.130436,0.006359,0.538868,0.005354,0.5544297,0.0054145036,38.19648,0.325917549981041,107.80335,0.69,555.0,0.1372308,ok,V,0.5090565984943962,0.007609000259523693,0.04537310150560381
19,ORIG-CT2,151.112396,-2.31674,0.5897148,0.9246378,2.2022257,4.285844,0.91040945,1.0078629,2017-03-12T01:41:48,65284.8055,0.01355,0.002374,-0.035962,0.002683,0.03843004,0.00264655,-34.67713,1.7999532710631432,18.64878,1.22,555.0,0.15090229,ok,V,0.0330848225941198,0.0004945273756386082,0.005345217405880197
20,F55,54.02579,-20.96981,0.4613018,4.7527742,2.0441163,4.0364876,0.976208,0.49315014,2021-01-27T01:46:07,11333.36474,0.075579,0.005676,-0.41805,0.004028,0.424827,0.0040903473,-39.87611,0.3797381582899444,70.10385,0.788,655.0,0.14722508,ok,R,0.43964724538599653,0.004967416018216377,-0.014820245385996522
21,F10,71.42771,17.19769,0.8248278,5.7623506,2.177349,3.87747,0.9078226,0.29057422,2021-01-27T02:32:09,19357.35251,0.083346,0.002791,-0.069988,0.004371,0.10883417,0.003531186,-20.010567,0.9997722328251526,35.29063,1.603,655.0,0.14806081,ok,R,0.11113696994915072,0.0012556966307311658,-0.0023027999491507245
22,F17,133.152,24.72839,0.9398638,0.44400248,2.3252554,3.5744252,0.8745622,6.2437162,2021-01-27T03:39:10,28517.26367,0.045943,0.002744,0.01338,0.003995,0.047851685,0.0028615843,8.118584,2.3418217799954246,22.049465,0.82,655.0,0.14926097,ok,R,0.04205935649640959,0.00047521353396108985,0.005792328503590405
23,9090-7,138.001,-7.84645,0.39649776,0.79293305,2.379145,3.3271468,0.89962566,6.025486,2021-01-27T04:23:28,12668.99876,-0.020421,0.001679,0.171256,0.003153,0.17246923,0.0031371256,-41.600006,0.2837854183127444,43.617058,0.855,655.0,0.1500431,ok,R,0.17322986599350018,0.0019572619189597773,-0.0007606359935001805
24,F64,156.588,-0.12736,0.5758099,0.798418,2.387572,3.0443294,0.9638616,5.8143983,2021-01-27T05:10:25,13228.95137,0.115313,0.001714,0.224762,0.004693,0.2526164,0.004248202,31.420069,0.298209638275452,52.259,0.725,655.0,0.15086192,ok,R,0.25239248924514346,0.0028516919123491207,0.00022391075485655998
25,F23,173.413,13.44331,0.8010614,0.6478774,2.3351684,2.739575,1.0744957,5.611584,2021-01-27T06:03:37,16459.12801,0.262048,0.00219,0.235072,0.005891,0.3520341,0.004258148,20.946959,0.3761763281771295,60.763,0.743,655.0,0.1517767,ok,R,0.3410945845394662,0.0038539049675623822,0.010939515460533844
26,CT2,194.38792,-2.38783,0.67297125,1.049413,2.2151892,2.46269,1.229599,5.432989,2021-01-27T07:02:07,13387.96687,0.349048,0.003856,0.409608,0.006721,0.5381572,0.005694201,24.78199,0.2797492479887641,85.87207,1.745,655.0,0.15276606,ok,R,0.5491017248665166,0.00620410279458794,-0.010944524866516647
27,F74,235.731,-34.111,0.9260293,2.0135412,2.0668912,2.2682595,1.3914318,5.3035865,2021-01-27T07:55:24,13171.15791,0.217974,0.002499,0.030014,0.005029,0.2200307,0.002568928,3.9200299,0.6501696567948481,132.10913,0.618,655.0,0.15365154,ok,R,0.21064472885358984,0.0023799989906486997,0.009385971146410155
28,F65,166.391,-77.77269,0.94218886,3.2255774,1.9380037,2.1502848,1.5232645,5.221615,2021-01-27T08:35:52,3796.848702,0.151747,0.002688,0.459012,0.004739,0.4834451,0.0045779156,35.85319,0.175047875491233,107.78019,0.685,655.0,0.15431371,ok,R,0.46017483263300535,0.005199349839652224,0.023270267366994668
29,ORIG-CT3,151.112397,-2.31674,0.52373177,0.7932833,2.2800212,4.2154517,0.83970666,0.92958146,2017-03-12T02:03:41,67646.88685,0.008805,0.002508,-0.029549,0.003346,0.03083296,0.0032856744,-36.703506,2.403225351523174,18.730225,1.06,655.0,0.16950989,ok,R,0.030159695188123933,0.0003407635429410574,0.0006732648118760662
30,F55,54.02579,-20.96981,0.4955555,4.734982,2.070502,4.0093455,0.96094805,0.4573773,2021-01-27T01:54:44,7466.643281,0.030217,0.00282,-0.258403,0.00376,0.26016375,0.0037488881,-41.665134,0.3121486290292126,70.14414,0.793,768.0,0.16485159,ok,I,0.2500732421604208,0.015500941766634257,0.01009050783957921
31,F10,71.42771,17.19769,0.8375994,5.731295,2.1938627,3.8528755,0.90117395,0.26093465,2021-01-27T02:38:26,10719.21201,0.059852,0.002643,-0.058661,0.004082,0.083805576,0.003424448,-22.212112,1.1802718406765562,35.324245,1.608,768.0,0.1657287,ok,I,0.06328332632554683,0.003922655409657699,0.02052224967445318
32,F17,133.152,24.72839,0.929314,0.41538882,2.33548,3.5409286,0.8758727,6.211761,2021-01-27T03:45:32,15302.09626,0.041577,0.003197,0.008299,0.004008,0.042397175,0.0032318258,5.6440997,2.689278131583272,22.016043,0.905,768.0,0.1670572,ok,I,0.023827732072442903,0.0014769764413617877,0.0185694429275571
33,9090-7,138.001,-7.84645,0.3769206,0.7294753,2.3837974,3.2848253,0.9070319,5.9917393,2021-01-27T04:30:36,7120.252446,-0.008174,0.003054,0.127448,0.003717,0.12770985,0.0037145254,-43.165154,0.6857487019716887,43.585934,0.808,768.0,0.16793655,ok,I,0.09829691139589183,0.006092993741450704,0.02941293860410818
34,F64,156.588,-0.12736,0.5546222,0.7503826,2.3839762,2.9986577,0.97748226,5.7828774,2021-01-27T05:18:02,7675.876561,0.087834,0.003299,0.147273,0.004176,0.17147638,0.003964717,29.59402,0.5931057705186821,52.215733,0.73,768.0,0.16885044,ok,I,0.143187336768909,0.008875554016892733,0.02828904323109102
35,F23,173.413,13.44331,0.7807447,0.6041936,2.3209429,2.693938,1.0956968,5.5821724,2021-01-27T06:12:20,9453.356664,0.189766,0.003522,0.147416,0.004161,0.24029693,0.0037752027,18.920574,0.4688532658152128,60.71028,0.768,768.0,0.16988145,ok,I,0.19351680715140906,0.011995256799984585,0.04678012284859093
36,CT2,194.38792,-2.38783,0.6391572,1.0047468,2.1898637,2.4225364,1.2585275,5.4067173,2021-01-27T07:12:03,8064.176012,0.02461,0.004058,0.245572,0.004151,0.24680206,0.0041500856,42.138603,0.4711464966187669,85.80369,1.93,768.0,0.17099592,ok,I,0.3119390263379179,0.019335729965474672,-0.06513696633791793
37,F74,235.731,-34.111,0.8971307,2.0094552,2.0422325,2.2430441,1.4170812,5.2863197,2021-01-27T08:03:26,8445.207815,0.150816,0.003144,0.007876,0.004105,0.15102151,0.0031470116,1.4947088,0.7782563837917741,132.04784,0.638,768.0,0.17193803,ok,I,0.12002607389147683,0.0074398890732820175,0.030995436108523164
38,F65,166.391,-77.77269,0.9441049,3.2314136,1.9195095,2.1357214,1.5418111,5.2112775,2021-01-27T08:41:25,3296.341596,0.097194,0.00371,0.249015,0.004038,0.26731095,0.003996182,34.339306,0.4024265466543331,107.76046,0.68,768.0,0.17262411,ok,I,0.2616167491082671,0.01621647305433007,0.005694200891732892
39,ORIG-CT4,151.112398,-2.31674,0.46505073,0.62535703,2.3570683,4.1317496,0.77107,0.8366314,2017-03-12T02:26:17,61893.01025,0.004283,0.002849,-0.022303,0.003926,0.022710524,0.0038928085,-39.564716,3.6508339224902975,18.810371,0.94,768.0,0.18947273,ok,I,0.01728877552121964,0.0010716552489007298,0.00542174847878036
